name,genre,min_p,max_p,min_t,max_t,known,played,owned,rating,win_count,lose_count,comment
itoレインボー,協力系,2,14,14,15,False,False,False,2,0,0,
スカル,心理戦,3,6,15,30,False,False,False,0,0,0,
エルドラドを探して,戦略系,2,4,45,45,False,False,False,0,0,0,
宝石の煌き,戦略系,2,4,30,30,False,False,False,0,0,0,
はぁって言うゲーム,パーティー,3,8,15,15,False,False,False,0,0,0,
ジャストワン,協力系,3,7,20,20,False,False,False,0,0,0,
チャレンジャーズ！,戦略系,1,8,45,45,False,False,False,0,0,0,
天下鳴動 DELUXE,戦略系,2,4,30,30,False,False,False,0,0,0,
ドミニオン,戦略系,2,4,30,30,False,False,False,0,0,0,
クリプティッド,推理系,3,5,30,50,False,False,False,0,0,0,
カスカディア,戦略系,1,4,30,45,False,False,False,0,0,0,
SCOUT！,戦略系,3,5,15,15,False,False,False,0,0,0,
ウイングスパン,戦略系,1,5,40,70,False,False,False,0,0,0,
ブラフ,騙し合い,2,6,30,30,False,False,False,0,0,0,
ディクシット,パーティー,3,6,30,30,False,False,False,0,0,0,
ワーリングウィッチクラフト,戦略系,2,5,30,30,False,False,False,0,0,0,
ヒート,戦略系,1,6,60,60,False,False,False,0,0,0,
エバーデール,戦略系,1,4,40,80,False,False,False,0,0,0,
パークス,ワーカープレイスメント,1,5,40,70,False,False,False,0,0,0,
ザ・マインド,協力系,2,4,20,20,False,False,False,0,0,0,
アズール,戦略系,2,4,30,45,False,False,False,0,0,0,
タイガー＆ドラゴン,心理戦,2,5,20,20,False,False,False,0,0,0,
あいうえバトル,パーティー系,2,5,15,15,False,False,False,0,0,0,
カタン,戦略系,3,4,60,60,False,False,False,0,0,0,
テラフォーミングマーズ,戦略系,1,5,90,120,False,False,False,0,0,0,
キャット・イン・ザ・ボックス,戦略系,2,5,30,30,False,False,False,0,0,0,
ゲスクラブ,パーティー,2,8,30,30,False,False,False,0,0,0,
ディセプション,推理系,4,12,15,30,False,False,False,0,0,0,
コヨーテ,騙し合い,2,10,15,30,False,False,False,0,0,0,
アクワイア,戦略系,2,6,90,90,False,False,False,0,0,0,
モダンアート,心理戦,3,5,40,40,False,False,False,0,0,0,
ナナ カードゲーム,心理戦,2,5,15,15,False,False,False,0,0,0,
クランク！,戦略系,2,4,60,60,False,False,False,0,0,0,
アズール：サマーパビリオン,戦略系,2,4,30,45,False,False,False,0,0,0,
ニダヴェリア,戦略系,2,5,45,45,False,False,False,0,0,0,
オリフラム,心理戦,2,5,20,20,False,False,False,0,0,0,
プロジェクトＬ,戦略系,1,4,30,30,False,False,False,0,0,0,
ハゲタカのえじき,心理戦,2,6,10,10,False,False,False,0,0,0,
ワンナイト人狼,騙し合い,3,7,10,10,False,False,False,0,0,0,
スパイシー,心理戦,2,6,15,15,False,False,False,0,0,0,
ファーナス ロシア産業革命,戦略系,2,4,30,60,False,False,False,0,0,0,
ことばのクローバー！,協力系,3,6,30,30,False,False,False,0,0,0,
カイト,協力系,2,6,10,10,False,False,False,0,0,0,
レジスタンスアヴァロン,騙し合い,5,10,30,30,False,False,False,0,0,0,
キングドミノ,戦略系,2,4,15,15,False,False,False,0,0,0,
タイニータウン,戦略系,1,6,45,60,False,False,False,0,0,0,
ウボンゴ3D,パーティー,1,4,30,30,False,False,False,0,0,0,
イーオンズエンド,協力系,1,4,60,60,False,False,False,0,0,0,
リトルタウンビルダーズ,戦略系,2,4,30,30,False,False,False,0,0,0,
コードネーム,パーティー,2,8,15,15,False,False,False,0,0,0,
カートグラファー,戦略系,1,100,30,45,False,False,False,0,0,0,
ナナトリドリ,戦略系,2,6,10,20,False,False,False,0,0,0,
ザ・クルー,協力系,3,5,20,20,False,False,False,0,0,0,
シャドウレイダーズ,騙し合い,4,8,40,60,False,False,False,0,0,0,
